company_name,weight,total_length,start_area,end_area,price
실버퀵,5,100,용산,관악,7
실버퀵,5,100,은평,관악,9
실버퀵,5,100,종로,관악,7
실버퀵,5,100,중구,관악,7
실버퀵,5,100,중랑,관악,9
실버퀵,5,100,부천,관악,11
실버퀵,5,100,인천,관악,16
실버퀵,5,100,안양,관악,9
실버퀵,5,100,수원,관악,15
실버퀵,5,100,안산,관악,15
실버퀵,5,100,성남,관악,13
실버퀵,5,100,일산,관악,18
실버퀵,5,100,의정부,관악,18
실버퀵,5,100,강남,광진,9
실버퀵,5,100,강동,광진,11
실버퀵,5,100,강북,광진,10
실버퀵,5,100,강서,광진,11
실버퀵,5,100,관악,광진,10
실버퀵,5,100,광진,광진,6
실버퀵,5,100,구로,광진,11
실버퀵,5,100,금천,광진,11
실버퀵,5,100,노원,광진,9
실버퀵,5,100,도봉,광진,10
실버퀵,5,100,동대문,광진,9
실버퀵,5,100,동작,광진,9
실버퀵,5,100,마포,광진,9
실버퀵,5,100,서대문,광진,9
실버퀵,5,100,서초,광진,9
실버퀵,5,100,성동,광진,9
실버퀵,5,100,성북,광진,10
실버퀵,5,100,송파,광진,8
실버퀵,5,100,양천,광진,11
실버퀵,5,100,영등포,광진,10
실버퀵,5,100,용산,광진,9
실버퀵,5,100,은평,광진,11
실버퀵,5,100,종로,광진,9
실버퀵,5,100,중구,광진,9
실버퀵,5,100,중랑,광진,9
실버퀵,5,100,부천,광진,17
실버퀵,5,100,인천,광진,22
실버퀵,5,100,안양,광진,17
실버퀵,5,100,수원,광진,22
실버퀵,5,100,안산,광진,22
실버퀵,5,100,성남,광진,14
실버퀵,5,100,일산,광진,17
실버퀵,5,100,의정부,광진,15
실버퀵,5,100,강남,구로,9
실버퀵,5,100,강동,구로,11
실버퀵,5,100,강북,구로,11
실버퀵,5,100,강서,구로,9
실버퀵,5,100,관악,구로,8
실버퀵,5,100,광진,구로,11
실버퀵,5,100,구로,구로,6
실버퀵,5,100,금천,구로,8
실버퀵,5,100,노원,구로,11
실버퀵,5,100,도봉,구로,11
실버퀵,5,100,동대문,구로,10
실버퀵,5,100,동작,구로,9
실버퀵,5,100,마포,구로,9
실버퀵,5,100,서대문,구로,10
실버퀵,5,100,서초,구로,9
실버퀵,5,100,성동,구로,10
실버퀵,5,100,성북,구로,10
실버퀵,5,100,송파,구로,10
실버퀵,5,100,양천,구로,8
실버퀵,5,100,영등포,구로,8
실버퀵,5,100,용산,구로,9
실버퀵,5,100,은평,구로,11
실버퀵,5,100,종로,구로,9
실버퀵,5,100,중구,구로,9
실버퀵,5,100,중랑,구로,14
실버퀵,5,100,부천,구로,11
실버퀵,5,100,인천,구로,16
실버퀵,5,100,안양,구로,11
실버퀵,5,100,수원,구로,16
실버퀵,5,100,안산,구로,16
실버퀵,5,100,성남,구로,16
실버퀵,5,100,일산,구로,18
